location,country,site,lat,long,t,litter.spp,type,MAT,MAP,CDI_LT,CDI_atan,Nt,Mt,Cell,Lig,C,N,CN,LIG_N,Ls
Manjarv,Sweden,MA,65.78,20.62,3.964383562,SPI,L,0.2,516,0.2157,0.1209,1.07728288,33.6368,45.5,27.27,48.05,0.3046,157.7478661,89.52724885,0.374742339
Manjarv,Sweden,MA,65.78,20.62,5.005479452,SPI,L,0.2,516,0.2157,0.1209,0.82139948,21.60958333,45.5,27.27,48.05,0.3046,157.7478661,89.52724885,0.374742339
Manjarv,Sweden,MA,65.78,20.62,0.994520548,SPI,L,0.2,516,0.2157,0.1209,1.290690123,69.2732,49.48,26.83,48.1,0.3236,148.6402967,82.91100124,0.35159219
Manjarv,Sweden,MA,65.78,20.62,1.219178082,SPI,L,0.2,516,0.2157,0.1209,1.158523946,61.7272,49.48,26.83,48.1,0.3236,148.6402967,82.91100124,0.35159219
Manjarv,Sweden,MA,65.78,20.62,1.98630137,SPI,L,0.2,516,0.2157,0.1209,1.2476992,52.3776,49.48,26.83,48.1,0.3236,148.6402967,82.91100124,0.35159219
Manjarv,Sweden,MA,65.78,20.62,2.208219178,SPI,L,0.2,516,0.2157,0.1209,1.104285927,43.5676,49.48,26.83,48.1,0.3236,148.6402967,82.91100124,0.35159219
Manjarv,Sweden,MA,65.78,20.62,3.005479452,SPI,L,0.2,516,0.2157,0.1209,1.059253221,37.1588,49.48,26.83,48.1,0.3236,148.6402967,82.91100124,0.35159219
Manjarv,Sweden,MA,65.78,20.62,3.964383562,SPI,L,0.2,516,0.2157,0.1209,0.975232132,33.0488,49.48,26.83,48.1,0.3236,148.6402967,82.91100124,0.35159219
Manjarv,Sweden,MA,65.78,20.62,5.005479452,SPI,L,0.2,516,0.2157,0.1209,0.794967723,22.0164,49.48,26.83,48.1,0.3236,148.6402967,82.91100124,0.35159219
Mankarbo,Sweden,MAN,60.22,17.47,0.054794521,SBI,L,4.4,580,0.3046,0.175,1.00939012,88.45916667,40.34,28.39,45.01,1.3397,33.59707397,21.19131149,0.413065619
Mankarbo,Sweden,MAN,60.22,17.47,0.076712329,SBI,L,4.4,580,0.3046,0.175,1.160044563,86.9364,40.34,28.39,45.01,1.3397,33.59707397,21.19131149,0.413065619
Mankarbo,Sweden,MAN,60.22,17.47,0.175342466,SBI,L,4.4,580,0.3046,0.175,0.891102462,60.6464,40.34,28.39,45.01,1.3397,33.59707397,21.19131149,0.413065619
Mankarbo,Sweden,MAN,60.22,17.47,0.205479452,SBI,L,4.4,580,0.3046,0.175,0.637464375,44.94166667,40.34,28.39,45.01,1.3397,33.59707397,21.19131149,0.413065619
Mankarbo,Sweden,MAN,60.22,17.47,0.249315068,SBI,L,4.4,580,0.3046,0.175,0.568604766,38.4128,40.34,28.39,45.01,1.3397,33.59707397,21.19131149,0.413065619
Mankarbo,Sweden,MAN,60.22,17.47,0.290410959,SBI,L,4.4,580,0.3046,0.175,0.548134153,36.4452,40.34,28.39,45.01,1.3397,33.59707397,21.19131149,0.413065619
Mankarbo,Sweden,MAN,60.22,17.47,0.38630137,SBI,L,4.4,580,0.3046,0.175,0.515485432,32.6896,40.34,28.39,45.01,1.3397,33.59707397,21.19131149,0.413065619
Mankarbo,Sweden,MAN,60.22,17.47,0.950684932,SBI,L,4.4,580,0.3046,0.175,0.385180763,25.9104,40.34,28.39,45.01,1.3397,33.59707397,21.19131149,0.413065619
Mankarbo,Sweden,MAN,60.22,17.47,1.008219178,SBI,L,4.4,580,0.3046,0.175,0.308727955,20.2724,40.34,28.39,45.01,1.3397,33.59707397,21.19131149,0.413065619
Mankarbo,Sweden,MAN,60.22,17.47,1.221917808,SBI,L,4.4,580,0.3046,0.175,0.121613074,NA,40.34,28.39,45.01,1.3397,33.59707397,21.19131149,0.413065619
Mankarbo,Sweden,MAN,60.22,17.47,2.02739726,SBI,L,4.4,580,0.3046,0.175,0.042758883,NA,40.34,28.39,45.01,1.3397,33.59707397,21.19131149,0.413065619
Mankarbo,Sweden,MAN,60.22,17.47,3.252054795,SBI,L,4.4,580,0.3046,0.175,NA,NA,40.34,28.39,45.01,1.3397,33.59707397,21.19131149,0.413065619
Mankarbo,Sweden,MAN,60.22,17.47,0.054794521,NSP,L,4.4,580,0.3046,0.175,1.014984227,97.5,54.36,33.8,38.27,1,38.27,33.8,0.383393829
Mankarbo,Sweden,MAN,60.22,17.47,0.076712329,NSP,L,4.4,580,0.3046,0.175,1.196409979,97.1444,54.36,33.8,38.27,1,38.27,33.8,0.383393829
Mankarbo,Sweden,MAN,60.22,17.47,0.175342466,NSP,L,4.4,580,0.3046,0.175,1.123421305,84.7024,54.36,33.8,38.27,1,38.27,33.8,0.383393829
Mankarbo,Sweden,MAN,60.22,17.47,0.205479452,NSP,L,4.4,580,0.3046,0.175,1.11820478,83.3412,54.36,33.8,38.27,1,38.27,33.8,0.383393829
Mankarbo,Sweden,MAN,60.22,17.47,0.249315068,NSP,L,4.4,580,0.3046,0.175,1.090572334,79.444,54.36,33.8,38.27,1,38.27,33.8,0.383393829
Mankarbo,Sweden,MAN,60.22,17.47,0.290410959,NSP,L,4.4,580,0.3046,0.175,1.106283667,78.348,54.36,33.8,38.27,1,38.27,33.8,0.383393829
Mankarbo,Sweden,MAN,60.22,17.47,0.950684932,NSP,L,4.4,580,0.3046,0.175,1.056041432,73.7676,54.36,33.8,38.27,1,38.27,33.8,0.383393829
Mankarbo,Sweden,MAN,60.22,17.47,1.008219178,NSP,L,4.4,580,0.3046,0.175,1.224075026,72.152,54.36,33.8,38.27,1,38.27,33.8,0.383393829
Mankarbo,Sweden,MAN,60.22,17.47,1.221917808,NSP,L,4.4,580,0.3046,0.175,1.058837684,62.478,54.36,33.8,38.27,1,38.27,33.8,0.383393829
Mankarbo,Sweden,MAN,60.22,17.47,2.02739726,NSP,L,4.4,580,0.3046,0.175,0.844954165,54.7484,54.36,33.8,38.27,1,38.27,33.8,0.383393829
Mankarbo,Sweden,MAN,60.22,17.47,3.252054795,NSP,L,4.4,580,0.3046,0.175,0.758826411,41.914,54.36,33.8,38.27,1,38.27,33.8,0.383393829
Mankarbo,Sweden,MAN,60.22,17.47,4.021917808,NSP,L,4.4,580,0.3046,0.175,0.694296743,39.45434783,54.36,33.8,38.27,1,38.27,33.8,0.383393829
Remningstorp,Sweden,REM,58.47,13.65,0.468493151,NSP,L,5.6,530,0.3042,0.1731,1.219627445,75.118,47.57,31.4,42.97,0.5053,85.03859094,62.1413022,0.397619349
